4,5,1,2,2,2,3,1,1,1,3,1,1,1,2,96,97,98,1,1,1,1,2,69,70,71,2,2,1,1,4,5
20,21,3,2,3,1,1,2,3,2,2,2,2,2,1,96,97,98,2,2,2,2,2,85,86,87,1,2,3,1,20,21
4,5,1,80,81,81,81,81,81,81,81,81,81,81,81,99,97,98,1,1,1,1,1,101,102,103,1,1,2,1,4,5
20,21,1,96,97,97,97,97,97,97,97,97,97,97,97,97,97,98,1,1,1,1,1,117,118,119,1,1,2,1,20,21
4,5,1,96,97,116,113,113,113,113,113,113,113,113,113,113,113,114,1,1,1,1,3,69,70,71,1,1,2,1,4,5
20,21,1,96,97,98,1,2,1,1,1,2,1,1,2,1,1,1,1,3,1,1,1,85,86,87,1,2,2,1,20,21
4,5,1,96,97,98,1,16,16,16,16,16,16,2,1,80,81,82,80,81,82,1,1,101,102,103,1,3,1,1,4,5
20,21,1,96,97,98,1,16,16,16,16,16,16,2,2,96,97,98,96,97,98,1,1,117,118,119,1,3,1,1,20,21
4,5,1,96,97,98,1,16,16,16,16,16,16,2,2,112,113,114,112,113,114,1,1,69,70,71,2,3,1,1,4,5
20,21,1,96,97,98,1,16,16,16,16,16,16,2,2,80,81,82,80,81,82,2,1,85,86,87,2,2,1,1,20,21
4,5,1,96,97,98,1,16,16,16,16,16,16,1,2,96,97,98,96,97,98,2,1,101,102,103,2,2,1,1,4,5
20,21,1,96,97,98,1,16,16,16,16,16,16,2,1,112,113,114,112,113,114,2,2,117,118,119,2,2,1,1,20,21
4,5,1,96,97,98,1,1,1,1,2,1,2,3,1,2,3,1,2,3,2,3,3,32,33,34,2,2,3,1,4,5
20,21,1,96,97,98,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,48,49,50,1,2,2,1,20,21
4,5,1,96,97,98,1,1,1,1,2,2,1,2,2,1,1,2,2,16,16,16,16,48,49,50,16,16,16,1,4,5
20,21,1,96,97,98,1,1,1,1,1,1,2,2,1,2,2,2,16,16,16,16,16,48,49,50,16,16,16,1,20,21
4,5,1,96,97,98,1,1,32,33,34,16,32,33,34,1,2,16,16,16,16,16,16,48,49,50,16,16,16,1,4,5
20,21,1,96,97,98,1,1,48,49,50,16,48,49,50,2,16,16,16,16,16,16,16,48,49,68,33,33,33,34,20,21
4,5,1,96,97,98,1,1,64,65,66,16,64,65,66,2,16,16,16,16,16,16,16,48,49,49,49,49,49,50,4,5
20,21,2,96,97,98,1,1,16,16,16,16,16,16,16,2,1,16,16,16,16,16,16,48,49,84,65,65,65,66,20,21
4,5,1,96,97,98,1,1,32,33,34,16,32,33,34,1,2,2,16,16,16,16,16,48,49,50,16,16,16,1,4,5
20,21,2,96,97,98,1,1,48,49,50,16,48,49,50,1,1,2,2,16,16,16,16,48,49,50,16,16,16,1,20,21
4,5,1,96,97,98,1,1,64,65,66,16,64,65,66,1,1,1,1,1,1,1,1,48,49,50,0,0,1,1,4,5
20,21,1,96,97,98,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,48,49,50,1,1,1,1,20,21
36,37,1,96,97,98,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,48,49,50,1,1,1,1,36,37
