4,5,2,0,1,2,3,2,3,0,1,2,3,2,0,1,2,3,0,0,0,0,1,2,3,4,5,0,1,2,4,5
20,21,2,3,0,1,16,16,2,3,1,2,3,1,0,1,2,3,3,0,1,0,1,2,3,20,21,80,81,82,20,21
4,5,80,81,82,1,16,16,1,2,3,1,16,16,16,16,16,16,16,0,1,2,0,1,2,36,37,96,97,98,4,5
20,21,96,97,98,0,1,2,3,1,2,3,2,16,16,16,16,16,16,16,16,16,16,1,2,3,2,112,113,114,20,21
4,5,112,113,114,0,1,2,3,3,1,2,3,3,0,1,2,3,0,1,2,3,0,0,1,2,3,2,3,0,4,5
20,21,3,3,3,0,1,2,3,2,3,1,2,3,0,1,2,0,1,2,3,3,3,0,1,2,16,16,16,3,20,21
4,5,3,3,2,0,1,2,3,2,3,0,1,2,0,1,2,0,1,2,3,2,3,0,1,2,16,2,3,3,4,5
20,21,3,3,2,0,1,2,3,16,16,16,16,16,16,1,0,1,2,3,0,1,2,0,1,2,16,2,3,2,20,21
4,5,3,3,2,16,16,16,16,16,16,16,16,16,16,16,0,1,2,3,2,80,81,82,1,2,3,1,2,3,4,5
20,21,3,2,3,0,1,2,3,1,2,3,2,0,0,0,1,2,3,1,2,96,97,100,1,2,3,1,2,0,20,21
4,5,3,1,2,3,1,2,3,1,2,0,1,2,0,0,1,2,3,1,2,112,115,116,0,1,2,3,2,0,4,5
20,21,3,0,1,2,3,2,3,0,1,0,0,0,1,0,1,2,3,1,2,3,96,98,0,1,0,1,2,0,20,21
4,5,3,0,32,33,33,34,3,0,16,16,16,16,16,16,16,2,3,3,1,2,96,98,3,0,0,1,2,2,4,5
20,21,3,1,48,49,49,50,3,0,1,16,16,16,16,16,16,16,16,16,1,2,96,98,3,0,0,16,2,0,20,21
4,5,3,1,64,83,84,66,3,0,0,1,16,16,16,16,16,16,16,16,16,2,96,98,0,0,16,16,2,2,4,5
20,21,3,1,2,48,50,2,3,0,0,1,2,3,3,2,3,0,2,3,1,2,96,98,16,16,16,16,2,3,20,21
4,5,3,0,1,48,50,2,3,0,0,1,2,3,2,3,3,0,2,3,1,2,96,98,16,16,16,16,2,3,4,5
20,21,3,0,1,48,50,2,3,3,2,0,1,2,3,3,3,80,82,2,3,2,96,98,16,16,16,16,2,3,20,21
4,5,3,0,0,48,50,3,2,3,0,0,0,1,2,3,3,96,100,81,81,81,99,98,3,3,16,16,2,2,4,5
20,21,0,1,0,48,50,16,16,16,16,1,0,1,2,3,80,99,116,113,113,113,113,114,2,3,0,16,2,3,20,21
4,5,0,0,1,48,50,0,16,16,16,16,0,1,2,3,96,97,98,16,2,3,2,3,2,3,0,1,2,3,4,5
20,21,1,0,1,48,50,0,1,2,3,0,0,1,2,3,112,113,114,3,2,3,2,3,2,3,0,1,2,3,20,21
36,37,0,1,2,48,50,0,0,0,0,0,0,0,0,0,1,2,3,1,2,3,2,3,16,3,0,1,2,3,4,5
33,33,33,33,33,67,68,33,33,33,33,33,34,0,1,2,3,0,0,1,2,3,2,16,16,3,0,0,1,2,20,21
65,65,65,65,65,65,65,65,65,65,65,65,66,0,1,2,3,0,1,0,1,16,16,16,16,3,1,2,3,0,36,37
